cluster,total_avg_rtt,total_avg_tp,total_avg_tcp
0,57.0,107.0,2102.0
0,29.0,120.0,84135.0
0,50.0,15.0,9980.0
0,50.0,110.0,323503.0
1,107.0,21301.0,5010879.25
1,104.0,50731.5,210074.0
2,99.0,153.0,4389562.0
1,183.0,1496.0,1874228.5
0,50.0,85.0,237911.0
2,31.0,80.0,7883135.125
1,106.0,20425.5,913942.0
1,113.0,48061.0,574871.0
1,58.0,41577.5,3247708.0
2,85.0,196.0,4675953.0
0,52.0,70.0,1789303.25
0,99.0,108.0,363507.0
0,87.0,2565.0,1090676.0
1,118.0,10268.0,197718.0
0,109.0,4308.0,1180386.0
0,29.0,106.0,2152960.0
0,30.0,63.0,258328.0
1,194.5,44663.0,9008245.875
1,74.0,52849.75,224070.0
0,109.0,3187.0,511396.0
2,45.0,83.0,6248720.0
0,50.0,78.0,3750.0
0,119.0,80.0,133624.0
0,32.0,141.0,258774.0
0,50.0,76.0,99154.0
1,127.0,9928.0,26831.0
0,56.0,7206.0,153.0
0,50.0,133.0,7502.0
0,50.0,86.0,5734.0
1,166.0,146.0,782606.0
0,94.0,286.0,184923.25
2,37.0,129.0,11439579.40625
2,132.0,33434.5,11439579.40625
2,50.0,15.0,7883135.125
1,126.0,5712.0,16181.0
0,53.0,44.0,607492.0
0,90.0,580.0,45399.0
1,72.0,22965.0,197615.0
0,50.0,171.0,43541.0
0,50.0,86.0,91337.0
0,50.0,102.0,3994.0
0,120.0,190.0,35305.0
2,41.0,92.0,7730523.875
2,30.0,100.0,4004998.0
0,41.0,1018.0,220350.25
2,50.0,64.0,7716036.875
0,108.0,2884.0,1926847.0
0,32.0,155.0,701475.0
